#{"t_start": 1711550318.8228576, "env_id": "None"}
r,l,t
120.0,567,2.221489
80.0,502,3.430763
140.0,817,5.41553
0.0,291,6.136639
180.0,626,7.628075
60.0,484,8.827205
160.0,779,10.676566
120.0,649,12.23961
40.0,435,13.29081
200.0,798,15.2581
60.0,412,16.223891
20.0,380,17.145572
40.0,420,18.135229
60.0,433,19.207471
40.0,532,20.473743
0.0,359,21.340764
80.0,492,22.523128
200.0,638,24.040551
220.0,983,26.373321
140.0,614,27.817327
20.0,334,28.619326
220.0,1053,31.138184
140.0,598,32.568166
120.0,732,34.23905
80.0,482,35.391392
160.0,625,36.875559
100.0,528,38.123669
60.0,423,39.130219
60.0,489,40.343805
100.0,723,42.08417
60.0,486,43.439767
240.0,914,45.625894
240.0,820,47.616516
100.0,473,48.788642
160.0,863,50.932659
40.0,488,52.101061
60.0,503,53.268648
80.0,455,54.359906
120.0,486,55.524245
240.0,818,57.46659
160.0,690,59.172374
100.0,517,60.402216
160.0,662,61.953774
80.0,540,63.225866
120.0,695,64.862172
40.0,363,65.711225
180.0,724,67.47717
120.0,789,69.367215
200.0,817,71.310061
320.0,1411,74.62517
300.0,817,76.583421
80.0,462,77.657023
180.0,674,79.260266
240.0,986,81.694252
280.0,890,83.792752
180.0,736,85.561652
200.0,861,87.729485
240.0,695,89.377391
220.0,747,91.612986
40.0,423,92.795463
280.0,1079,95.402189
400.0,1407,98.774206
500.0,1551,102.563949
260.0,735,104.326294
300.0,865,106.381531
200.0,754,108.193616
100.0,522,109.420818
80.0,459,110.519078
280.0,1042,112.963892
220.0,809,114.881867
280.0,943,117.120744
420.0,1167,119.884127
200.0,840,121.859354
180.0,576,123.227591
220.0,864,125.266764
320.0,913,127.487614
120.0,487,128.641288
420.0,1323,131.771694
200.0,820,133.675761
200.0,842,135.739116
340.0,1184,138.582296
180.0,797,140.471361
200.0,739,142.235941
320.0,945,144.495504
200.0,696,146.111889
200.0,682,147.7199
180.0,766,149.545319
120.0,504,150.753645
140.0,546,152.09877
180.0,756,153.868132
180.0,600,155.295674
320.0,1166,158.13228
220.0,687,159.771156
280.0,996,162.162202
480.0,1426,165.748027
300.0,880,167.826388
200.0,670,169.461819
140.0,487,170.585953
160.0,581,171.981379
280.0,989,174.315769
300.0,989,176.702665
240.0,797,178.647735
280.0,861,180.723139
280.0,951,183.008551
420.0,1289,186.452506
320.0,1035,188.885798
280.0,892,191.027816
300.0,1002,193.428278
420.0,1241,196.451449
140.0,549,197.756557
260.0,789,199.625566
280.0,843,201.648182
340.0,1053,204.148945
260.0,856,206.224258
200.0,712,207.926234
240.0,806,209.845749
340.0,1206,212.801941
260.0,962,215.132463
120.0,582,216.547177
340.0,1160,219.387216
240.0,779,221.74836
400.0,1183,224.873044
260.0,896,227.086047
340.0,896,229.381882
360.0,1193,232.628944
440.0,1278,235.731561
280.0,869,237.86135
360.0,993,240.742773
260.0,914,242.931086
240.0,752,244.739106
200.0,615,246.224732
320.0,1044,248.750022
180.0,642,250.252887
380.0,1212,253.827028
160.0,717,255.511104
420.0,1077,258.107365
360.0,1011,260.570787
220.0,789,262.471419
320.0,1149,265.225859
120.0,462,266.307959
340.0,999,268.708776
140.0,612,270.265907
180.0,711,271.959547
380.0,1127,274.633237
180.0,692,276.25391
340.0,897,278.406866
100.0,487,279.539606
280.0,1000,281.986732
340.0,987,284.389766
460.0,1359,287.58158
520.0,1615,291.481922
480.0,1365,294.719072
240.0,919,296.89261
460.0,1251,299.856514
140.0,564,301.201558
200.0,771,303.087539
340.0,1111,305.691606
180.0,685,307.289352
320.0,997,309.662352
360.0,1203,312.480197
440.0,1368,316.054075
340.0,1090,318.622598
260.0,967,320.881516
360.0,1226,323.826499
480.0,1519,327.450241
420.0,1314,330.556468
200.0,601,331.9668
240.0,822,334.429785
380.0,1184,337.224796
200.0,697,338.86172
300.0,979,341.149651
400.0,1216,344.06649
320.0,982,346.433329
160.0,648,347.99739
260.0,863,350.009029
420.0,1317,353.455176
360.0,1270,356.475909
340.0,1002,358.860791
260.0,812,360.805391
380.0,1146,363.522086
340.0,1065,366.38042
180.0,662,368.1488
260.0,725,369.854068
240.0,822,371.797783
280.0,824,373.749679
220.0,793,375.594737
180.0,514,376.830965
220.0,795,378.766822
220.0,680,380.354643
200.0,765,382.194152
400.0,1155,384.967639
500.0,1563,389.03772
360.0,1148,391.735837
360.0,1043,394.236012
380.0,1183,397.328818
320.0,947,399.622543
480.0,1489,403.196387
300.0,1037,405.633763
280.0,933,407.823924
220.0,749,409.601014
460.0,1364,412.825656
680.0,1967,417.873755
360.0,1119,420.5316
360.0,1151,423.285154
440.0,1373,426.561368
340.0,1115,429.167834
280.0,916,431.35279
520.0,1537,434.950011
260.0,994,437.743966
220.0,694,439.421221
400.0,1311,442.821545
380.0,1266,445.822626
380.0,1143,448.614256
260.0,971,450.885587
480.0,1399,454.229668
380.0,1238,457.19109
340.0,1061,459.743952
260.0,972,462.351172
520.0,1553,466.21161
320.0,989,468.659609
380.0,1161,471.43029
220.0,728,473.456908
480.0,1317,476.627221
300.0,1022,479.05372
360.0,1090,482.026836
420.0,1303,485.067215
300.0,1024,487.524973
460.0,1351,490.758281
400.0,1113,493.762914
300.0,914,495.919267
340.0,971,498.198736
320.0,1133,500.908154
440.0,1179,504.099836
260.0,813,506.00665
280.0,834,507.959761
120.0,503,509.244769
120.0,539,510.855049
320.0,914,513.113856
200.0,714,514.779762
200.0,703,516.458323
280.0,861,518.482995
240.0,827,520.417048
140.0,563,521.800422
240.0,845,523.810637
140.0,598,525.228947
200.0,762,527.040904
220.0,714,528.716645
500.0,1509,532.736428
440.0,1284,536.102055
400.0,1146,538.887735
340.0,991,541.316663
440.0,1365,544.563242
420.0,1319,547.914067
300.0,1055,550.476531
360.0,1175,553.283474
340.0,947,556.003061
280.0,764,557.79557
260.0,701,559.473258
520.0,1439,562.863513
340.0,1043,565.494632
480.0,1390,569.002095
540.0,1560,572.713599
240.0,895,574.831135
400.0,1119,577.864635
340.0,1129,580.569705
540.0,1546,584.317713
420.0,1265,587.701756
260.0,794,589.641646
340.0,1088,592.233915
340.0,944,594.781472
400.0,1275,597.906265
400.0,1237,600.836859
540.0,1700,604.852222
480.0,1466,608.660346
580.0,1789,613.235704
500.0,1494,616.792774
240.0,796,618.709651
320.0,1019,621.591652
100.0,497,622.884978
420.0,1152,625.833557
540.0,1488,629.40445
500.0,1395,632.755001
420.0,1302,635.830441
240.0,878,637.976032
280.0,935,640.400721
260.0,803,642.466065
280.0,951,644.943158
720.0,2031,649.74707
200.0,879,651.826774
320.0,1068,654.767316
260.0,921,656.901143
660.0,1851,661.590426
320.0,971,663.957831
320.0,875,666.047235
200.0,713,667.714097
400.0,1062,670.25715
340.0,1062,672.916476
320.0,1084,675.697658
240.0,738,677.609939
620.0,1727,681.864866
380.0,1231,685.104152
340.0,1162,688.229264
600.0,1726,692.349135
340.0,934,694.557659
360.0,1079,697.125965
420.0,1347,700.304816
400.0,1291,703.580488
420.0,1138,706.371097
400.0,1105,709.047717
500.0,1353,712.499975
380.0,1230,715.568156
200.0,673,717.14105
260.0,763,719.285847
280.0,896,721.411327
420.0,1163,724.193308
360.0,902,726.308609
260.0,888,728.408405
420.0,1266,731.787512
340.0,1053,734.266864
280.0,880,736.333435
220.0,827,738.279036
180.0,647,740.125533
280.0,834,742.160115
340.0,1133,744.864598
300.0,799,746.752599
340.0,1052,749.225542
160.0,582,750.678926
180.0,642,752.519603
240.0,778,754.369783
240.0,734,756.116455
160.0,593,757.635824
200.0,626,759.285597
460.0,1454,762.868228
600.0,1698,766.844346
340.0,959,769.160248
220.0,776,771.310664
400.0,1201,774.39632
300.0,923,776.707974
400.0,1145,779.712868
480.0,1345,782.902267
500.0,1481,786.438683
360.0,993,789.113483
180.0,634,790.617481
560.0,1501,794.491202
300.0,900,796.666439
500.0,1471,800.156312
280.0,913,802.316624
300.0,928,804.488749
600.0,1781,809.092668
320.0,958,811.401956
240.0,889,813.734607
480.0,1564,817.644983
480.0,1463,821.163613
420.0,1235,824.482218
320.0,946,827.12613
340.0,986,829.484376
320.0,1114,832.107855
260.0,800,833.977153
160.0,625,835.494448
500.0,1383,839.146112
260.0,808,841.084794
500.0,1338,844.549285
360.0,1029,847.016722
280.0,883,849.492869
660.0,1532,853.178866
220.0,799,855.484794
300.0,904,857.626155
360.0,1038,860.484467
260.0,863,862.53631
460.0,1402,865.90011
520.0,1395,869.405017
380.0,1034,872.121049
460.0,1436,875.768893
160.0,643,877.302546
620.0,1719,881.43696
480.0,1357,884.864471
220.0,704,886.634642
600.0,1567,890.393521
300.0,969,892.649038
480.0,1457,896.417967
420.0,1185,899.164483
200.0,705,900.824072
660.0,1736,905.206863
80.0,413,906.251278
120.0,555,907.803396
220.0,779,909.717523
360.0,1139,912.375063
500.0,1280,915.717469
180.0,587,917.174053
240.0,811,919.389153
260.0,799,921.298608
400.0,1130,924.279668
360.0,1143,926.979733
220.0,872,929.409824
260.0,849,931.44326
320.0,982,933.736516
220.0,761,935.86327
220.0,653,937.437324
400.0,1110,940.125468
480.0,1208,942.995705
380.0,1106,945.581055
340.0,1136,948.292937
220.0,774,950.457853
380.0,1278,953.447776
280.0,807,955.336684
220.0,723,957.237856
340.0,1099,960.143893
360.0,1011,962.709855
440.0,1130,965.755285
200.0,675,967.392815
280.0,945,969.572939
240.0,780,971.424519
380.0,1142,974.147202
200.0,660,975.693017
260.0,802,977.64396
300.0,998,980.005869
440.0,1477,983.532534
280.0,909,985.860226
380.0,1133,988.903722
220.0,786,990.893891
340.0,991,993.408606
360.0,1069,996.108965
360.0,1071,998.69553
580.0,1583,1002.753745
180.0,622,1004.501445
380.0,1148,1007.303172
320.0,990,1009.701031
420.0,1137,1012.622275
240.0,747,1014.40376
180.0,684,1016.037796
240.0,781,1018.011984
340.0,1017,1020.722219
280.0,830,1022.712286
200.0,716,1024.75488
160.0,585,1026.19567
160.0,538,1027.46645
260.0,815,1029.390053
340.0,996,1031.747951
340.0,963,1034.19861
180.0,634,1035.927032
300.0,844,1037.950357
280.0,859,1040.105015
140.0,580,1041.695544
220.0,714,1043.356174
340.0,1078,1046.271132
180.0,666,1047.896429
320.0,1101,1050.600593
300.0,887,1052.928687
180.0,539,1054.196625
260.0,826,1056.132794
240.0,860,1058.247007
280.0,860,1060.281675
440.0,1239,1063.213103
400.0,1180,1066.364999
340.0,1110,1069.330482
220.0,744,1071.403892
220.0,661,1072.955012
280.0,881,1075.248103
160.0,618,1076.879977
180.0,659,1078.439487
260.0,814,1080.373559
140.0,560,1082.03623
220.0,764,1083.848633
180.0,569,1085.215262
160.0,540,1086.471482
300.0,1041,1088.947781
320.0,1105,1091.532371
180.0,670,1093.087065
200.0,666,1094.868353
140.0,537,1096.312055
200.0,606,1097.752373
100.0,471,1098.859308
340.0,921,1101.003679
180.0,633,1102.743178
120.0,524,1104.054041
300.0,926,1106.395163
420.0,1091,1109.347957
240.0,858,1111.667936
300.0,932,1113.881811
100.0,448,1115.002099
120.0,403,1116.181608
300.0,943,1118.534614
240.0,865,1120.586875
160.0,635,1122.097486
280.0,889,1124.20101
200.0,684,1125.870392
180.0,610,1127.613671
260.0,852,1129.640271
200.0,659,1131.445792
240.0,748,1133.303108
160.0,601,1134.711439
260.0,885,1137.144997
300.0,1019,1139.572063
300.0,815,1141.681142
360.0,1146,1144.535903
220.0,935,1147.098444
280.0,1047,1149.620024
380.0,1008,1152.021851
340.0,1173,1155.273345
360.0,1150,1158.134204
200.0,743,1159.950273
300.0,1027,1162.770281
220.0,762,1164.576617
200.0,748,1166.639602
200.0,677,1168.236597
240.0,817,1170.411182
280.0,853,1172.575169
380.0,1148,1175.280207
200.0,718,1176.957761
280.0,821,1178.947256
240.0,730,1180.937537
360.0,1036,1183.43985
100.0,463,1184.497999
260.0,826,1186.507252
100.0,445,1187.53894
140.0,539,1188.81655
460.0,1258,1191.827322
140.0,540,1193.315054
320.0,971,1195.83316
240.0,796,1197.908574
380.0,1215,1201.034074
520.0,1514,1204.739223
180.0,737,1206.617814
400.0,1135,1209.463345
260.0,844,1211.709098
340.0,985,1214.140301
440.0,1277,1217.351173
380.0,1138,1220.174567
240.0,809,1222.416775
400.0,1275,1225.474077
460.0,1423,1229.163732
260.0,853,1231.153101
340.0,970,1233.443506
320.0,971,1235.738729
460.0,1292,1239.184376
300.0,1050,1241.919149
380.0,1124,1244.64922
360.0,1160,1247.740867
520.0,1563,1251.705814
440.0,1263,1254.711979
300.0,863,1256.769861
300.0,983,1259.109354
260.0,827,1261.094002
600.0,1547,1265.170154
180.0,671,1266.846166
260.0,811,1269.050802
280.0,997,1271.787634
540.0,1450,1275.285738
180.0,685,1276.914887
360.0,1045,1279.366968
240.0,795,1281.283488
280.0,893,1283.732084
200.0,712,1285.409473
360.0,1016,1288.151664
200.0,733,1289.873738
200.0,747,1291.677062
200.0,745,1293.753007
440.0,1143,1296.456422
380.0,1117,1299.569042
600.0,1591,1303.630579
220.0,851,1305.801946
500.0,1418,1309.465031
340.0,1035,1311.9102
240.0,795,1314.029216
320.0,1058,1316.630737
560.0,1436,1320.260206
380.0,1172,1323.352007
340.0,1059,1326.335379
280.0,922,1328.632682
300.0,876,1330.710078
300.0,907,1332.857264
340.0,984,1335.206186
320.0,953,1337.833822
200.0,682,1339.506799
400.0,1091,1342.113941
240.0,860,1344.534037
120.0,502,1345.91714
