#{"t_start": 1711371070.8182018, "env_id": "None"}
r,l,t
120.0,696,2.530694
60.0,437,3.578001
20.0,380,4.463911
200.0,884,6.563111
100.0,621,8.034849
120.0,520,9.272006
0.0,345,10.130529
0.0,335,10.904528
80.0,534,12.211893
60.0,405,13.153283
0.0,380,14.041005
20.0,599,15.43756
20.0,390,16.364485
20.0,433,17.430518
40.0,492,18.598459
60.0,424,19.625389
80.0,485,20.773155
20.0,400,21.727705
80.0,483,23.009811
80.0,511,24.570775
340.0,1130,27.660911
140.0,697,29.510043
60.0,437,30.760983
140.0,688,32.571901
80.0,568,33.92684
60.0,505,35.076288
100.0,513,36.332413
0.0,376,37.328586
180.0,691,38.997663
140.0,903,41.54004
220.0,840,43.536158
140.0,730,45.249944
120.0,566,46.553009
0.0,359,47.42445
40.0,527,48.818512
0.0,479,50.085948
40.0,380,50.978658
80.0,568,52.327488
100.0,709,54.016687
120.0,598,55.419276
120.0,518,56.631082
260.0,1106,59.214437
140.0,622,60.676132
60.0,458,61.763271
80.0,554,63.095398
40.0,391,63.994706
100.0,578,65.343572
20.0,449,66.380182
60.0,521,67.580359
100.0,526,68.786293
100.0,622,70.29238
0.0,321,71.034141
60.0,439,72.036547
80.0,465,73.127719
20.0,378,74.004061
60.0,411,74.969575
140.0,771,76.763228
140.0,603,78.207009
40.0,411,79.153832
100.0,575,80.528026
20.0,356,81.351519
120.0,624,82.827542
120.0,525,84.087925
40.0,436,85.288903
140.0,554,86.637287
200.0,679,88.243358
20.0,459,89.322577
100.0,484,90.435786
80.0,538,91.717882
80.0,493,92.881361
40.0,387,93.775566
40.0,463,94.880335
320.0,1324,97.980255
240.0,850,99.97808
40.0,359,100.826771
180.0,855,103.058107
80.0,530,104.277448
120.0,596,105.657577
60.0,474,106.784298
80.0,543,108.061001
140.0,616,109.589374
220.0,724,111.315012
60.0,448,112.354785
0.0,297,113.036879
180.0,777,114.923828
20.0,383,115.827723
120.0,557,117.144197
40.0,359,117.983778
200.0,923,120.144919
260.0,1003,122.547605
160.0,725,124.290425
140.0,583,125.683246
60.0,517,126.888783
160.0,677,128.476077
140.0,592,129.882559
160.0,574,131.229269
220.0,705,132.956815
180.0,636,134.775169
120.0,492,135.97048
220.0,839,137.935512
100.0,563,139.26141
240.0,1003,141.598008
0.0,331,142.332021
120.0,596,143.735825
140.0,597,145.126944
220.0,795,147.025748
120.0,631,148.500471
260.0,955,150.762094
100.0,494,151.944992
140.0,728,153.649467
220.0,1079,156.201996
160.0,741,157.948263
160.0,705,159.604281
280.0,1027,162.01439
320.0,1096,164.611727
160.0,755,166.412743
400.0,1288,169.48644
100.0,535,170.743241
120.0,530,171.97831
260.0,927,174.191267
340.0,969,176.44572
320.0,856,178.888078
60.0,483,180.032037
200.0,804,182.168571
40.0,394,183.19754
140.0,507,184.717316
100.0,590,186.086079
40.0,354,186.90796
120.0,672,188.559307
