#{"t_start": 1711491962.7231817, "env_id": "None"}
r,l,t
120.0,567,3.116233
80.0,502,4.517255
120.0,816,7.087741
40.0,415,8.374577
120.0,822,10.892133
100.0,610,12.745684
60.0,497,14.1309
80.0,510,15.544901
40.0,603,17.323261
100.0,513,18.96638
220.0,870,21.275402
200.0,729,23.187139
80.0,476,24.387742
160.0,694,26.293572
140.0,749,28.307452
80.0,493,31.016756
220.0,714,33.255156
100.0,504,34.457091
120.0,561,35.808749
320.0,1364,39.847873
40.0,425,40.925015
140.0,620,42.461715
100.0,439,43.545986
80.0,520,45.451317
80.0,594,47.390114
120.0,695,49.262987
0.0,389,50.29733
60.0,470,51.483824
20.0,341,52.279351
220.0,833,54.35293
140.0,578,55.720783
140.0,726,57.619259
20.0,361,58.564437
220.0,915,61.003581
40.0,442,62.167798
160.0,613,63.948907
120.0,528,65.8293
200.0,600,67.858695
60.0,498,69.216967
80.0,419,70.415804
240.0,983,73.837286
300.0,1003,77.321977
100.0,476,78.837354
100.0,535,80.813539
220.0,864,83.314346
200.0,765,85.314773
60.0,449,86.4101
280.0,931,88.656183
260.0,1092,92.023017
120.0,483,93.481919
80.0,441,94.607306
180.0,570,96.115123
160.0,546,97.512062
140.0,543,99.04616
120.0,557,100.520406
300.0,1012,103.15065
360.0,1022,105.709505
280.0,849,107.956414
280.0,1198,111.063007
260.0,904,114.251851
140.0,579,115.898619
160.0,657,118.000638
440.0,1213,121.136831
160.0,528,122.483238
220.0,722,124.39082
620.0,1733,129.705758
200.0,790,131.919571
140.0,611,133.448019
160.0,625,135.265752
560.0,1590,139.854043
100.0,529,141.326542
180.0,698,143.301413
420.0,1269,146.403343
160.0,695,148.191687
340.0,977,150.567672
200.0,693,152.289058
580.0,1607,156.119366
500.0,1455,159.713178
260.0,766,161.860312
240.0,895,163.998403
520.0,1690,168.368245
120.0,468,169.729685
140.0,593,171.438359
300.0,1038,174.267813
140.0,555,175.618553
280.0,902,177.836653
600.0,1823,182.317971
480.0,1594,186.138394
340.0,1099,188.797108
480.0,1275,191.91784
400.0,1231,194.910516
380.0,1057,197.800541
280.0,804,199.733606
340.0,1034,202.299811
260.0,891,204.462924
400.0,1390,208.119369
240.0,951,210.650887
120.0,564,212.116998
240.0,767,213.93986
300.0,949,216.478993
340.0,1068,219.671126
220.0,839,222.169776
380.0,1132,225.126618
160.0,615,226.878184
320.0,876,228.956222
280.0,995,231.346089
300.0,1030,233.796034
200.0,719,235.690029
280.0,994,238.644153
380.0,1122,241.554222
120.0,528,242.83712
180.0,581,244.231691
440.0,1306,247.370545
240.0,791,249.455762
120.0,468,250.755339
360.0,1066,253.333799
420.0,1268,256.704214
340.0,1262,259.725225
260.0,660,261.30893
220.0,793,263.253817
440.0,1299,266.58825
340.0,1202,269.548583
280.0,863,271.986095
360.0,1124,275.116923
120.0,537,276.405357
100.0,549,277.815681
380.0,1075,280.421152
240.0,825,282.377693
340.0,1055,284.94942
240.0,827,287.379085
340.0,1160,290.182237
380.0,1167,293.344926
260.0,857,295.488652
380.0,1201,298.969615
380.0,1254,302.28502
340.0,1131,305.1679
360.0,1132,308.148518
120.0,542,309.620363
200.0,749,311.664992
360.0,1138,314.372418
200.0,634,315.907926
360.0,1018,318.33637
460.0,1418,321.923028
180.0,596,323.606398
520.0,1703,328.029281
560.0,1696,332.678052
300.0,1047,335.166798
300.0,1008,337.610901
320.0,1051,340.131515
620.0,1847,345.357188
600.0,1767,350.012187
300.0,1031,352.508064
420.0,1258,356.133173
280.0,892,358.575466
180.0,615,360.204047
100.0,569,361.564987
260.0,803,363.512428
300.0,939,365.754919
320.0,1071,368.704391
220.0,775,370.567855
280.0,1030,373.370109
40.0,420,374.429834
420.0,1263,377.849312
320.0,939,380.120808
340.0,1113,383.044976
340.0,1077,385.740207
280.0,854,387.863322
360.0,1179,391.297764
320.0,1178,394.540341
340.0,1101,397.309069
300.0,1063,400.253636
220.0,891,402.378611
100.0,619,403.855547
240.0,768,405.715217
320.0,946,408.308618
460.0,1199,411.465243
340.0,1135,414.52064
460.0,1493,418.74397
620.0,1899,423.716147
340.0,1152,426.483754
260.0,1033,428.962943
220.0,772,430.80902
420.0,1227,433.914968
560.0,1726,438.38151
220.0,711,440.280011
280.0,915,442.433361
220.0,853,444.6436
260.0,888,447.046391
280.0,985,449.823608
380.0,1137,452.620308
160.0,554,453.987936
360.0,1105,457.029087
180.0,694,458.660848
300.0,1162,461.424008
340.0,1131,464.11082
540.0,1437,467.609835
160.0,584,469.311534
340.0,1011,471.779092
400.0,1178,474.889628
260.0,731,476.685595
180.0,660,478.661864
380.0,1197,481.518348
280.0,959,483.988297
240.0,775,485.977966
340.0,972,488.351167
340.0,1108,491.41531
180.0,637,492.942001
220.0,731,494.902281
260.0,938,497.220947
140.0,507,498.421785
340.0,987,501.178153
460.0,1311,504.328244
380.0,975,506.655872
500.0,1575,510.777658
180.0,777,512.688498
400.0,1247,515.938327
360.0,1155,518.813113
160.0,663,520.747641
420.0,1168,523.690114
200.0,753,525.474691
140.0,598,526.934131
160.0,714,528.684549
600.0,1755,533.233965
300.0,882,535.377875
280.0,784,537.58589
640.0,1831,542.283424
140.0,676,543.997339
300.0,1115,546.96971
160.0,572,548.322453
440.0,1386,551.66265
520.0,1519,555.699083
240.0,868,557.787494
160.0,690,559.436875
160.0,607,560.874616
440.0,1369,564.441043
380.0,1150,567.359825
280.0,967,569.789176
400.0,1166,572.818143
380.0,1077,575.396904
300.0,994,577.837107
160.0,707,579.811812
380.0,1129,582.850274
420.0,1209,585.828687
260.0,839,588.21543
440.0,1229,591.679001
380.0,1193,594.867108
380.0,1143,597.889055
300.0,860,600.465153
320.0,944,602.807289
180.0,626,604.303309
240.0,898,606.495425
240.0,1002,608.916687
340.0,1127,611.678965
480.0,1450,615.491646
460.0,1448,619.581874
300.0,991,622.254101
420.0,1304,625.630772
360.0,1180,628.419957
160.0,677,630.05527
180.0,668,631.805424
280.0,845,634.091045
180.0,599,635.496493
320.0,1119,638.543162
540.0,1578,642.771439
180.0,662,644.48704
280.0,975,646.912537
240.0,882,649.276459
200.0,814,651.242043
320.0,1031,654.090986
320.0,986,656.768172
400.0,1194,659.645432
260.0,801,661.610631
260.0,715,663.606286
260.0,874,665.731738
340.0,1145,668.797962
280.0,880,670.902817
380.0,1026,673.340189
220.0,648,674.89246
420.0,1335,678.526661
100.0,498,679.723798
340.0,1048,682.246396
280.0,866,684.330063
460.0,1196,687.601435
240.0,816,689.556841
200.0,739,691.319383
440.0,1257,694.692436
580.0,1774,698.956521
300.0,943,701.554016
180.0,568,702.887485
280.0,826,705.231945
180.0,669,706.965152
360.0,1103,710.317737
340.0,1035,713.531005
440.0,1285,716.888636
380.0,1199,720.112139
360.0,1132,722.888175
400.0,1265,725.93849
360.0,1181,728.921128
260.0,832,731.055616
400.0,1196,734.380844
300.0,1031,736.892815
300.0,992,739.579389
220.0,724,741.322255
200.0,765,743.215699
360.0,1035,746.244418
200.0,684,747.917496
180.0,693,749.597525
160.0,587,751.104642
220.0,709,753.031496
200.0,617,754.845736
240.0,809,756.85129
220.0,704,758.540071
560.0,1471,762.022603
360.0,1214,764.921221
280.0,872,767.40118
400.0,1280,770.790302
260.0,930,773.030657
220.0,772,774.87271
220.0,716,776.970944
200.0,699,778.68697
280.0,903,781.368858
180.0,622,782.947004
180.0,664,784.728243
200.0,649,786.484253
520.0,1259,789.548295
200.0,692,791.495428
240.0,706,793.255912
100.0,435,794.298343
220.0,647,796.219622
160.0,579,797.648968
140.0,592,799.135081
240.0,762,801.269284
240.0,953,803.547603
240.0,719,805.618802
300.0,883,807.716344
380.0,1257,811.206492
260.0,842,813.241312
200.0,768,815.079202
160.0,718,816.79083
240.0,741,818.597024
280.0,904,820.973883
220.0,707,822.874919
320.0,1034,825.483089
160.0,531,826.97748
300.0,1065,829.504645
240.0,759,831.326021
340.0,1126,834.448361
540.0,1503,838.099407
280.0,906,840.387688
260.0,825,842.664287
400.0,1183,845.581406
180.0,600,847.336552
220.0,661,848.960169
180.0,587,850.708939
220.0,830,852.730782
340.0,1036,855.324846
300.0,1168,858.419748
500.0,1563,862.531064
140.0,555,863.883402
140.0,616,865.372234
400.0,1081,868.042897
140.0,555,869.564126
340.0,1088,872.31502
400.0,1303,875.782122
420.0,1189,878.822571
160.0,670,880.731937
180.0,546,882.040217
220.0,853,884.120342
340.0,1065,886.659426
560.0,1639,891.044842
160.0,606,892.521928
140.0,674,894.109812
360.0,1011,896.689072
340.0,963,899.33445
280.0,901,901.720492
380.0,1138,904.543286
320.0,878,906.99825
380.0,1109,909.714936
240.0,814,911.872065
220.0,759,913.861489
200.0,689,915.647287
340.0,877,918.101623
340.0,1118,920.871446
600.0,1681,925.294972
380.0,1131,928.352634
160.0,578,929.753965
420.0,1300,933.163353
320.0,1024,936.032784
260.0,884,938.486954
420.0,1310,941.929758
200.0,745,943.91977
520.0,1421,947.321975
220.0,785,949.174446
220.0,740,950.955038
280.0,1004,953.747141
200.0,714,955.465532
180.0,688,957.164653
120.0,498,958.528079
260.0,784,960.603738
80.0,399,961.54318
260.0,787,963.772971
200.0,728,965.621825
160.0,666,967.230188
180.0,635,968.758525
100.0,459,969.846859
300.0,1022,972.505768
200.0,695,974.350838
160.0,653,976.238055
260.0,837,978.260705
280.0,916,980.487819
140.0,543,981.77512
180.0,720,983.525804
340.0,1031,986.40888
120.0,498,987.576267
220.0,749,989.702635
180.0,663,991.271567
300.0,1092,994.314867
160.0,528,995.640077
260.0,849,997.895423
240.0,890,1000.212401
220.0,666,1001.817148
280.0,948,1004.293483
480.0,1448,1008.024158
140.0,526,1009.679932
400.0,1162,1012.56354
140.0,533,1014.093572
180.0,620,1015.689102
440.0,1258,1019.237214
280.0,885,1021.436373
460.0,1453,1025.397571
320.0,998,1027.904351
180.0,715,1029.807147
380.0,1052,1032.592798
220.0,798,1034.767165
100.0,418,1035.840181
220.0,698,1037.539577
300.0,871,1039.627376
340.0,1076,1042.669312
420.0,1161,1045.78462
420.0,1194,1048.674799
380.0,1172,1051.474414
400.0,1167,1054.666378
360.0,1271,1057.749263
660.0,1764,1062.427421
80.0,440,1063.478317
380.0,1132,1066.56294
180.0,698,1068.27254
260.0,801,1070.262457
280.0,937,1072.917501
260.0,965,1075.550682
320.0,1083,1078.276414
160.0,547,1079.812106
300.0,1037,1082.440598
300.0,1026,1084.914371
280.0,800,1086.843568
240.0,877,1089.256032
160.0,690,1090.946306
220.0,683,1092.723666
200.0,678,1094.622562
300.0,1055,1097.507931
120.0,559,1099.00926
220.0,840,1101.272163
320.0,977,1103.621699
260.0,828,1105.869571
320.0,1052,1108.470822
300.0,924,1110.771848
340.0,1110,1113.468443
320.0,955,1116.108243
520.0,1454,1119.613873
200.0,773,1121.842607
460.0,1399,1125.197707
140.0,520,1126.727247
220.0,738,1128.641261
400.0,1323,1132.208272
440.0,1191,1135.211827
220.0,725,1137.200208
420.0,1156,1140.014256
340.0,1076,1142.693647
180.0,669,1144.555996
320.0,950,1147.18098
600.0,1691,1151.257219
520.0,1644,1155.887731
280.0,939,1158.250471
180.0,684,1159.886265
180.0,777,1161.742772
380.0,1230,1164.734385
300.0,934,1167.355903
160.0,592,1168.79277
220.0,763,1170.888721
300.0,881,1173.058409
520.0,1468,1176.965053
280.0,1034,1179.514861
360.0,1085,1182.218628
520.0,1281,1185.549267
400.0,1251,1188.980524
320.0,904,1191.403074
380.0,1151,1194.346136
420.0,1087,1197.354124
320.0,999,1199.82041
400.0,1175,1203.024091
380.0,1086,1205.884853
260.0,887,1208.040723
120.0,539,1209.375687
280.0,846,1211.430202
260.0,768,1213.649543
720.0,2015,1218.898731
420.0,1186,1221.9807
240.0,778,1223.996786
240.0,825,1226.049096
560.0,1589,1230.156516
460.0,1275,1233.600234
380.0,1020,1236.032048
400.0,1215,1239.256604
