#{"t_start": 1711632374.8105834, "env_id": "None"}
r,l,t
80.0,706,2.879103
60.0,427,3.888307
20.0,380,4.998568
60.0,464,6.098088
120.0,675,7.71189
40.0,452,8.849918
60.0,446,9.906193
20.0,453,11.002942
40.0,409,11.947645
20.0,389,12.863183
20.0,416,13.832405
20.0,442,14.877856
220.0,837,16.840391
60.0,490,18.091496
40.0,483,19.236624
140.0,720,20.934244
180.0,703,22.611668
0.0,315,23.506224
220.0,783,25.64252
60.0,569,27.055022
260.0,965,29.840516
40.0,380,30.925257
220.0,784,33.289096
160.0,556,35.217497
0.0,343,36.486419
40.0,480,37.85882
40.0,504,39.245531
140.0,697,40.980043
220.0,957,43.237
140.0,718,44.946836
180.0,581,46.336715
180.0,884,48.398429
60.0,644,50.012604
140.0,695,51.717651
240.0,765,53.542214
180.0,762,55.365844
80.0,441,56.419837
260.0,1115,59.085946
20.0,425,60.103624
100.0,483,61.275656
60.0,485,62.475488
60.0,417,63.439725
120.0,496,64.602813
60.0,497,65.796909
200.0,834,67.742658
60.0,467,68.881887
180.0,677,70.524844
60.0,387,71.436419
80.0,465,72.536467
40.0,445,73.577733
60.0,450,74.671237
240.0,931,76.998837
220.0,981,79.8783
80.0,724,81.692899
60.0,362,82.568848
100.0,508,83.776288
0.0,402,84.710237
80.0,565,86.06435
100.0,515,87.284791
200.0,677,88.872607
200.0,707,90.548416
100.0,543,91.853232
60.0,495,93.012195
20.0,388,93.929903
20.0,406,94.864413
140.0,569,96.207073
220.0,830,98.331539
120.0,635,99.841286
100.0,748,101.624187
160.0,752,103.470212
100.0,483,104.61244
80.0,556,105.946416
260.0,872,107.984369
220.0,828,109.953375
160.0,798,111.848068
60.0,480,113.034984
140.0,517,114.323731
240.0,807,116.191228
60.0,387,117.105043
60.0,401,118.073614
0.0,365,118.929455
120.0,588,120.314374
100.0,532,121.614177
140.0,516,122.81744
120.0,510,124.024452
80.0,505,125.276765
120.0,586,126.678379
220.0,970,128.959556
140.0,669,130.521643
180.0,843,132.532758
120.0,565,133.838677
20.0,445,134.916462
140.0,693,136.611389
220.0,829,138.585898
220.0,813,140.477767
120.0,685,142.098176
120.0,640,143.575934
220.0,999,146.059005
220.0,951,148.350063
80.0,579,149.718753
40.0,481,150.848309
40.0,378,151.774353
120.0,525,153.204432
480.0,1236,156.543232
