#{"t_start": 1711578780.53631, "env_id": "None"}
r,l,t
80.0,537,2.218221
160.0,763,4.190706
80.0,558,5.578955
200.0,727,7.436274
40.0,433,8.522517
80.0,488,9.832547
100.0,509,11.115814
140.0,771,13.067179
100.0,685,14.812803
100.0,604,16.395504
120.0,610,18.698165
0.0,291,19.817922
200.0,879,23.043689
60.0,481,24.832155
80.0,514,26.380888
60.0,525,27.725627
20.0,456,28.878912
20.0,385,29.933569
40.0,515,31.38449
180.0,874,33.700879
120.0,609,35.213888
120.0,659,36.874555
140.0,563,38.27389
120.0,689,40.019432
220.0,859,42.218801
60.0,531,43.623827
100.0,568,45.052971
100.0,534,46.39135
160.0,719,48.33475
60.0,498,49.582979
220.0,761,51.505477
80.0,437,52.586854
40.0,470,53.786611
120.0,554,55.212356
80.0,541,56.570203
140.0,718,58.390014
100.0,515,59.688401
200.0,934,62.050149
140.0,619,63.677873
100.0,502,64.934127
100.0,487,66.163562
200.0,676,67.855324
80.0,519,69.147117
200.0,839,71.262951
160.0,568,72.754947
180.0,697,74.538505
180.0,632,76.143795
60.0,440,77.881298
160.0,749,80.66332
80.0,677,83.099656
280.0,1030,86.469144
280.0,1008,89.05077
140.0,648,90.678637
160.0,689,92.454287
100.0,507,93.726767
80.0,534,95.063931
80.0,516,96.352603
220.0,849,98.545045
60.0,570,100.004268
100.0,518,101.318035
100.0,600,102.834054
180.0,786,104.815493
120.0,666,106.5263
60.0,484,108.007736
200.0,711,109.967949
200.0,745,111.849338
160.0,730,113.706447
80.0,462,114.856387
280.0,851,117.035623
260.0,964,119.447347
100.0,542,120.859404
100.0,549,122.238776
160.0,697,123.996588
300.0,938,126.393617
120.0,638,128.028659
120.0,493,129.270779
280.0,843,131.384309
140.0,726,133.307682
120.0,655,134.973609
180.0,733,137.032406
80.0,437,138.871737
80.0,457,140.441847
180.0,831,143.750581
120.0,566,145.914021
120.0,713,147.891865
40.0,417,148.955874
200.0,635,150.598216
100.0,488,151.853771
100.0,519,153.169941
80.0,455,154.381331
100.0,812,156.395669
160.0,807,158.46271
280.0,1017,161.123075
180.0,545,162.98087
140.0,655,164.655246
180.0,711,166.483562
240.0,1232,170.185317
80.0,436,171.29184
100.0,535,172.695035
80.0,487,173.907681
160.0,642,175.534428
200.0,789,177.618844
180.0,761,179.546801
260.0,857,181.740288
100.0,580,183.229885
100.0,480,184.431816
180.0,726,186.262857
120.0,632,187.862123
220.0,758,190.154828
160.0,699,191.917175
120.0,534,193.340662
240.0,725,195.162798
100.0,475,196.388453
400.0,1259,201.436121
180.0,613,203.906217
100.0,514,206.06504
160.0,685,208.412551
300.0,864,210.645915
180.0,622,212.240967
60.0,458,213.445524
260.0,1047,216.49125
140.0,571,218.159384
140.0,546,219.528548
280.0,947,221.906321
180.0,771,223.840431
120.0,797,225.934251
200.0,769,227.968854
260.0,830,230.423496
160.0,552,231.833383
220.0,962,234.26485
80.0,464,235.511482
240.0,758,237.780646
140.0,597,239.263067
140.0,612,240.803911
160.0,677,242.5036
340.0,1013,245.046216
320.0,1000,247.777679
200.0,812,250.15059
160.0,654,251.812777
80.0,436,252.908888
200.0,636,254.52404
220.0,724,256.380657
220.0,803,260.141858
220.0,709,262.940589
280.0,947,266.882721
160.0,739,269.280499
360.0,958,271.929302
140.0,685,273.946172
200.0,713,275.998947
240.0,750,277.931578
200.0,943,280.297342
100.0,528,282.097727
160.0,801,284.22009
220.0,752,286.105432
120.0,453,287.491348
240.0,928,290.624858
140.0,493,292.030417
180.0,751,293.933892
200.0,836,296.063137
200.0,660,297.760417
200.0,793,300.001331
160.0,844,302.235246
180.0,789,304.228739
260.0,800,306.238259
300.0,919,308.832856
200.0,611,310.607734
320.0,871,313.005303
180.0,645,314.888179
160.0,718,316.75287
160.0,689,318.841392
240.0,947,321.263875
320.0,1194,324.601418
80.0,470,325.793787
260.0,932,328.128901
200.0,760,330.007219
340.0,1171,333.325552
440.0,1219,336.387369
260.0,1000,338.909877
200.0,607,340.428948
160.0,656,342.272008
180.0,731,344.206297
360.0,892,346.576651
240.0,930,348.94564
300.0,1052,351.907641
280.0,855,354.0339
220.0,808,356.183418
300.0,904,358.82293
320.0,1003,361.372844
180.0,858,363.797866
180.0,784,365.87628
240.0,789,367.918337
180.0,745,370.097447
120.0,565,371.536044
200.0,783,373.500873
140.0,519,374.82168
220.0,809,377.182792
260.0,942,379.72717
240.0,964,382.349303
320.0,1133,385.556797
180.0,781,387.550542
340.0,1018,390.483448
180.0,674,392.16258
340.0,1186,395.49471
120.0,562,396.902285
240.0,801,398.918121
360.0,1165,401.889757
200.0,740,404.076422
360.0,1107,406.985574
180.0,798,409.176394
220.0,853,411.313051
300.0,1112,414.473716
360.0,981,417.289532
240.0,873,419.497621
400.0,1167,422.664167
200.0,730,424.631463
420.0,1190,427.924851
260.0,850,430.072094
220.0,752,432.277891
240.0,864,434.410841
280.0,1003,437.395842
240.0,759,439.291625
240.0,781,441.593416
400.0,1069,444.328872
340.0,1095,447.0947
240.0,874,449.524734
440.0,1291,452.955304
240.0,915,455.586255
260.0,990,458.170412
400.0,1245,461.564035
300.0,1053,464.57231
200.0,750,466.459202
340.0,1058,469.550358
240.0,824,471.9398
340.0,1024,474.509942
500.0,1229,477.934626
240.0,858,480.408656
300.0,972,482.916654
300.0,877,485.447325
300.0,1036,488.621427
240.0,974,491.138502
340.0,1072,493.839635
280.0,877,496.48606
340.0,977,499.420597
320.0,1048,502.377415
460.0,1259,505.721823
320.0,1049,508.550617
200.0,821,510.92037
340.0,906,513.259916
300.0,1084,516.315485
320.0,975,518.915592
420.0,1190,522.205703
360.0,1044,525.13938
340.0,1033,527.766085
320.0,928,530.363453
300.0,1000,533.2104
340.0,993,535.821657
260.0,1006,538.442229
280.0,958,541.12784
340.0,979,543.89984
380.0,1066,546.915961
460.0,1246,550.261007
180.0,795,552.728343
320.0,939,555.255545
320.0,923,557.877146
240.0,795,560.096505
320.0,892,562.508428
420.0,1168,565.525517
280.0,991,568.343861
220.0,709,570.156898
320.0,1230,573.567824
320.0,986,576.385623
360.0,1179,579.369469
420.0,1173,582.653156
240.0,893,584.892374
380.0,1276,588.585072
420.0,1229,592.112424
260.0,877,594.645778
460.0,1283,598.225487
360.0,1057,601.222878
440.0,1224,604.445534
420.0,1182,607.776809
260.0,1036,610.737917
280.0,907,613.069106
360.0,1124,616.042769
520.0,1509,620.559506
300.0,863,623.001852
280.0,844,625.492352
420.0,1191,628.476813
380.0,1187,631.753107
300.0,843,634.021911
140.0,592,635.707338
300.0,926,638.09888
220.0,826,640.499738
360.0,1169,643.668788
440.0,1180,647.18538
320.0,1091,650.010426
220.0,778,652.324158
280.0,832,654.394285
260.0,972,657.250177
360.0,1045,660.240361
260.0,953,662.756657
400.0,1169,665.926013
300.0,1011,668.860443
300.0,1044,671.543725
280.0,1009,674.382221
420.0,1175,678.374022
340.0,999,682.510591
260.0,1016,686.666671
260.0,1102,689.747618
420.0,1174,692.945139
440.0,1200,696.234227
380.0,1095,699.325657
380.0,1202,702.581219
400.0,1055,705.414667
380.0,1075,708.525056
340.0,1030,711.446628
400.0,1140,714.433024
320.0,951,717.034895
400.0,1164,720.192566
300.0,922,722.733046
260.0,798,725.053588
240.0,871,727.279843
360.0,1114,730.448761
240.0,882,732.907079
360.0,1055,735.699441
180.0,638,738.090262
320.0,947,741.922167
240.0,876,745.592642
340.0,976,748.937195
240.0,809,750.963949
280.0,802,752.969635
300.0,942,755.807625
240.0,800,757.85777
360.0,1192,761.155196
360.0,1079,764.247769
