#{"t_start": 1711399311.4261482, "env_id": "None"}
r,l,t
100.0,702,2.522835
40.0,429,3.652061
80.0,455,4.887618
0.0,344,5.785918
100.0,585,7.268378
40.0,503,8.607867
100.0,583,10.140374
40.0,403,11.149074
0.0,401,12.16466
80.0,568,13.651199
60.0,511,14.957719
0.0,311,15.8073
40.0,420,16.870353
40.0,523,18.182396
60.0,443,19.314879
20.0,372,20.257284
40.0,425,21.36022
120.0,469,22.835442
100.0,590,24.563564
100.0,547,25.985225
100.0,566,27.442772
60.0,489,28.666588
40.0,439,29.772292
20.0,354,30.842079
40.0,587,32.39057
40.0,381,33.401958
120.0,746,35.402364
120.0,712,37.342419
80.0,489,38.617203
0.0,368,39.561289
220.0,1106,42.517313
100.0,652,44.179229
80.0,466,45.45561
0.0,329,46.290015
80.0,473,47.555435
120.0,627,49.292642
0.0,373,50.302272
60.0,401,51.30848
200.0,783,53.36461
160.0,625,54.911906
40.0,433,55.987879
220.0,750,57.876663
180.0,818,59.967746
60.0,601,61.712513
100.0,624,63.255202
20.0,447,64.37742
120.0,547,65.747652
120.0,701,67.450078
180.0,567,68.980636
40.0,419,69.999223
60.0,410,71.018773
160.0,1042,73.74225
100.0,542,75.099362
20.0,339,75.919616
60.0,468,77.11403
60.0,407,78.104327
40.0,483,79.330995
120.0,539,80.641356
80.0,459,81.786784
100.0,528,83.187529
120.0,537,84.819201
80.0,604,86.368473
40.0,492,87.570709
120.0,690,89.330975
120.0,834,91.440522
260.0,877,93.714202
160.0,772,95.692031
60.0,447,96.856217
60.0,551,98.260642
280.0,891,100.569453
120.0,552,101.957324
160.0,934,104.280406
120.0,544,105.621428
60.0,561,107.000077
40.0,440,108.134332
60.0,476,109.330284
120.0,593,110.772213
100.0,503,112.064823
80.0,556,113.484278
120.0,591,115.035779
220.0,888,117.489361
140.0,766,119.426901
140.0,653,121.096142
100.0,757,123.015437
60.0,472,124.215449
120.0,699,125.978967
60.0,510,127.423169
300.0,791,129.662927
60.0,432,130.751421
40.0,373,131.682293
140.0,688,133.4275
200.0,954,135.841503
200.0,861,138.001898
100.0,564,139.409338
80.0,585,140.894063
240.0,823,142.972891
120.0,523,144.277933
220.0,734,146.12759
40.0,489,147.357157
100.0,616,148.91017
60.0,468,150.097371
200.0,655,151.72805
140.0,666,153.390377
280.0,1361,156.893492
220.0,932,159.2441
240.0,779,161.176394
60.0,435,162.442139
180.0,688,164.369234
60.0,432,165.476665
140.0,781,167.46385
200.0,791,169.564524
320.0,1076,172.535683
120.0,620,174.10965
100.0,575,175.536374
100.0,591,177.047947
80.0,524,178.423759
100.0,674,180.359359
80.0,578,181.802504
100.0,491,183.013583
60.0,582,184.448967
180.0,705,186.251968
160.0,681,188.001581
160.0,601,189.920611
120.0,432,191.442915
280.0,1285,194.628773
80.0,496,195.872264
420.0,1294,199.434226
80.0,582,200.985021
160.0,695,202.994572
20.0,400,203.973075
100.0,447,205.089602
280.0,731,206.915857
160.0,718,208.724304
140.0,478,209.899668
80.0,574,211.332804
80.0,447,212.484508
120.0,531,213.794127
100.0,464,214.954262
60.0,493,216.204287
140.0,738,218.176841
100.0,467,219.541374
160.0,691,221.268891
100.0,645,222.8899
180.0,842,225.024766
180.0,719,226.926717
220.0,974,229.618037
60.0,492,230.876323
120.0,653,232.513251
340.0,1034,235.105508
140.0,714,236.922154
40.0,517,238.268988
160.0,697,239.980175
200.0,802,242.362441
160.0,588,243.882388
240.0,830,246.249964
140.0,532,247.644474
160.0,653,249.467763
100.0,572,251.199078
220.0,1077,253.945102
120.0,637,255.621969
320.0,897,258.003667
180.0,709,259.829623
60.0,377,260.849751
20.0,349,261.803585
100.0,477,263.017191
180.0,824,265.508787
360.0,1096,268.293654
320.0,1098,271.606794
360.0,1085,274.374432
160.0,820,276.420276
60.0,473,277.619051
260.0,827,279.717608
80.0,449,280.873099
180.0,778,282.978322
100.0,649,284.822124
180.0,628,286.447976
280.0,858,288.654187
160.0,549,290.336877
160.0,759,292.560925
240.0,669,294.498759
220.0,648,296.107981
140.0,650,297.777156
40.0,449,298.885018
240.0,786,301.097853
260.0,819,303.37912
160.0,577,304.766905
140.0,677,306.515236
100.0,552,307.974455
80.0,447,309.098237
240.0,864,311.225434
100.0,710,312.998256
140.0,668,314.655045
120.0,567,316.218153
160.0,750,318.269598
160.0,649,319.923124
180.0,613,321.749693
120.0,476,322.979252
180.0,613,324.527094
160.0,593,326.006473
220.0,858,328.160245
240.0,748,330.016277
280.0,1001,332.908263
300.0,1071,335.541645
280.0,773,337.598812
200.0,709,339.627002
140.0,503,340.864657
200.0,931,343.582043
180.0,827,345.617587
140.0,638,347.22197
400.0,1214,350.383545
260.0,817,352.793528
200.0,844,354.971922
260.0,917,357.289287
120.0,707,359.106171
120.0,548,360.518931
260.0,771,362.94475
120.0,665,364.633832
100.0,565,366.3283
340.0,1099,369.439201
220.0,880,371.744224
120.0,690,373.633861
220.0,837,376.040037
160.0,671,377.814787
160.0,659,379.48934
260.0,855,381.959444
240.0,957,384.396193
160.0,749,386.333338
120.0,595,388.150819
200.0,909,390.470194
220.0,903,392.779098
180.0,594,394.275714
120.0,483,395.460359
200.0,717,397.680866
180.0,657,400.053311
200.0,838,402.680613
160.0,712,404.454531
160.0,709,406.234502
180.0,635,408.140315
200.0,783,410.127591
260.0,894,412.402789
60.0,470,413.852753
140.0,532,415.233876
140.0,623,416.753435
140.0,563,418.466463
240.0,790,420.467767
200.0,820,422.509972
200.0,741,424.398334
100.0,600,425.889633
300.0,1113,429.070139
180.0,522,430.383269
160.0,657,432.019288
320.0,1260,435.699322
220.0,735,437.518726
100.0,474,438.67109
100.0,485,440.002159
300.0,980,442.716671
260.0,845,444.84095
300.0,967,447.33637
140.0,511,448.605349
220.0,838,450.706943
260.0,979,453.158207
240.0,922,455.785174
200.0,676,457.440552
160.0,699,459.597655
180.0,632,461.204679
220.0,864,463.391382
200.0,750,465.703005
320.0,910,468.249471
200.0,764,470.258726
280.0,1028,472.816293
200.0,710,474.925882
240.0,794,476.894591
220.0,809,479.386517
120.0,625,481.043746
260.0,795,483.043865
200.0,634,484.637028
280.0,1177,487.558918
260.0,884,490.164079
420.0,1240,493.692999
360.0,1061,496.333875
280.0,955,498.687598
320.0,956,501.39934
280.0,980,503.910177
180.0,606,505.436543
260.0,954,508.229944
180.0,631,509.818075
260.0,874,511.987683
240.0,791,514.01173
300.0,993,516.506151
280.0,872,519.019451
180.0,711,520.802071
140.0,568,522.213089
240.0,716,524.035197
240.0,746,526.012776
280.0,1091,529.058456
320.0,1055,531.993283
260.0,823,534.10613
180.0,704,535.927594
180.0,650,537.546273
300.0,921,539.86797
220.0,964,542.566868
300.0,933,545.049604
380.0,1144,548.518445
340.0,1061,551.921067
280.0,902,554.444
200.0,646,556.065631
320.0,1083,558.912954
280.0,1050,561.889323
300.0,1006,564.398909
380.0,1142,567.387707
220.0,751,569.542255
420.0,1264,573.107525
420.0,1118,576.217498
300.0,993,578.768239
220.0,714,580.972332
340.0,1214,584.172295
180.0,771,586.284559
340.0,984,588.757938
180.0,620,590.332926
260.0,803,592.821018
300.0,985,595.383904
260.0,936,598.098933
240.0,697,599.893662
80.0,426,601.026527
240.0,796,603.312341
280.0,972,606.303971
240.0,809,608.428528
360.0,879,611.299747
260.0,860,613.548953
260.0,934,615.901589
240.0,1035,618.507869
400.0,1220,621.883157
360.0,1167,624.996428
320.0,993,627.731823
420.0,1182,631.137363
360.0,1227,634.386495
360.0,1175,637.814497
380.0,1049,641.747179
200.0,800,644.122106
300.0,940,646.55376
260.0,908,649.236531
220.0,746,651.145915
340.0,955,653.56455
380.0,1157,656.841327
200.0,778,659.083122
280.0,977,661.728071
280.0,1087,664.873141
320.0,1025,667.951218
240.0,665,669.971273
280.0,899,672.291348
380.0,1136,675.190367
260.0,836,677.294751
280.0,890,679.753056
160.0,705,681.6182
280.0,814,683.695535
360.0,1155,686.924381
300.0,944,689.339704
200.0,702,691.499338
280.0,1020,694.645576
220.0,784,696.652405
300.0,881,698.956172
360.0,1131,702.138228
340.0,1073,705.151558
200.0,786,707.324996
240.0,843,709.613998
260.0,894,712.020782
340.0,944,714.520751
260.0,794,716.595888
240.0,826,719.064829
300.0,910,721.367115
280.0,815,723.516487
280.0,951,725.883164
240.0,778,728.144933
320.0,958,730.705403
400.0,1066,733.369867
280.0,1033,735.938237
220.0,803,738.320722
160.0,635,740.165044
260.0,965,742.790245
300.0,1012,745.306777
280.0,936,747.65587
320.0,1044,750.413224
220.0,778,752.599499
400.0,1180,755.609461
260.0,892,758.194375
260.0,888,760.648203
280.0,1110,763.609086
180.0,635,765.44917
280.0,1152,768.58635
280.0,940,770.96601
460.0,1247,774.218035
320.0,1088,777.194263
280.0,910,779.489887
260.0,773,781.450537
180.0,798,783.670165
300.0,952,786.81406
420.0,1200,789.971063
240.0,899,792.210209
420.0,1466,796.21646
200.0,761,798.497766
280.0,894,800.746103
300.0,1050,803.71576
260.0,793,805.758471
340.0,996,808.514902
440.0,1196,811.663276
340.0,1144,814.616136
260.0,953,817.029552
340.0,1089,820.141482
300.0,940,822.482185
300.0,1066,825.426291
280.0,960,827.850837
240.0,864,830.373755
260.0,913,833.061149
260.0,691,834.792433
240.0,840,836.916617
320.0,1053,839.583042
360.0,913,841.84395
440.0,1252,845.370792
180.0,665,847.065596
300.0,945,849.861705
380.0,1031,852.464698
300.0,981,855.033332
280.0,809,857.089551
260.0,890,859.46386
380.0,1109,862.638018
260.0,841,864.913628
240.0,744,867.025227
400.0,1097,869.973106
240.0,896,872.229017
360.0,1127,875.086629
260.0,858,877.227391
160.0,643,879.086569
280.0,912,881.733194
320.0,910,884.019165
320.0,969,886.457276
260.0,858,888.994006
380.0,1070,891.678675
180.0,641,893.283907
140.0,581,894.751951
140.0,579,896.214795
220.0,827,898.408023
300.0,875,900.883928
220.0,814,902.922106
320.0,903,905.546466
140.0,524,906.898607
200.0,698,908.73217
260.0,720,910.520251
280.0,843,912.69069
280.0,807,914.727234
280.0,821,916.953129
300.0,986,919.571188
340.0,979,922.446937
420.0,1171,925.458602
300.0,876,927.931926
340.0,1166,930.860672
340.0,1146,933.76608
180.0,704,935.615746
200.0,741,937.864451
300.0,1086,940.624412
260.0,745,942.509573
220.0,703,944.506808
380.0,1196,947.67248
240.0,782,949.655583
360.0,1062,952.663511
460.0,1219,955.707944
200.0,731,957.697824
360.0,948,960.396172
380.0,1002,963.331494
360.0,1154,966.26967
280.0,918,968.955932
240.0,776,971.026888
240.0,874,973.200755
320.0,1093,976.215012
300.0,895,978.574317
220.0,725,980.557504
280.0,998,983.419792
260.0,785,985.585575
280.0,975,988.295901
320.0,968,990.907403
200.0,696,992.6729
260.0,979,995.118511
280.0,909,997.423251
280.0,1014,1000.003003
280.0,991,1002.501456
300.0,849,1004.992833
360.0,1095,1007.907957
340.0,1099,1010.97493
340.0,985,1013.576876
320.0,996,1016.789797
260.0,844,1019.114852
260.0,902,1021.659372
280.0,873,1023.908043
280.0,778,1025.848392
300.0,975,1028.386634
360.0,1131,1031.718526
400.0,1206,1034.750536
280.0,891,1036.976991
280.0,815,1039.142416
300.0,778,1041.352945
260.0,904,1043.97401
220.0,847,1046.24927
320.0,1017,1049.17047
340.0,1163,1052.42372
260.0,856,1054.603725
320.0,1080,1057.311546
340.0,1172,1060.615814
220.0,825,1062.683226
200.0,730,1064.546733
280.0,898,1067.172244
300.0,907,1069.550475
360.0,1046,1072.269004
240.0,881,1074.764493
240.0,789,1076.791479
300.0,960,1079.544288
200.0,708,1081.288351
260.0,830,1083.394315
360.0,961,1085.864727
320.0,1201,1089.158008
320.0,1042,1092.161783
340.0,918,1094.491081
340.0,1111,1097.284491
460.0,1220,1100.363925
200.0,725,1102.251915
300.0,956,1104.937257
500.0,1195,1108.25947
260.0,910,1110.55136
480.0,1251,1113.919159
200.0,728,1115.829597
340.0,987,1118.364615
400.0,1243,1121.46303
340.0,983,1124.311256
380.0,1018,1127.307423
260.0,840,1129.87382
280.0,879,1132.081686
440.0,1247,1135.195859
340.0,1063,1138.13894
400.0,1137,1141.108377
380.0,1117,1144.120015
300.0,848,1146.886529
320.0,1015,1149.6299
380.0,1183,1152.856222
280.0,866,1155.043362
400.0,1065,1157.731978
400.0,1167,1161.583493
320.0,1069,1164.32725
340.0,1012,1166.878385
260.0,951,1169.73564
340.0,1184,1172.729917
200.0,769,1175.0338
220.0,719,1176.893261
360.0,1048,1179.867092
340.0,1040,1182.565763
400.0,1025,1185.490475
340.0,938,1187.841722
400.0,994,1190.378764
340.0,1105,1193.508254
300.0,1036,1196.230673
340.0,990,1199.010774
200.0,726,1200.835998
180.0,706,1202.599839
480.0,1418,1206.187294
500.0,1271,1209.787614
300.0,965,1212.227942
300.0,1041,1214.857251
300.0,932,1217.301677
360.0,999,1220.127761
240.0,799,1222.132596
260.0,778,1224.118509
340.0,970,1226.892372
240.0,788,1228.917669
360.0,1114,1232.074186
300.0,924,1234.46104
260.0,780,1236.420262
320.0,935,1239.112019
180.0,711,1240.902091
140.0,575,1242.394897
160.0,526,1244.069994
220.0,736,1246.015173
180.0,773,1247.992392
280.0,957,1250.423722
260.0,836,1252.661317
280.0,827,1254.969133
420.0,1401,1258.554084
460.0,1083,1261.687788
280.0,912,1263.99722
260.0,898,1266.616353
200.0,802,1268.825456
320.0,843,1270.94488
180.0,618,1272.760068
260.0,880,1275.073954
300.0,925,1277.810867
340.0,873,1280.019945
280.0,722,1281.814026
300.0,879,1284.35972
260.0,863,1286.55246
380.0,1292,1289.802632
280.0,925,1292.341222
360.0,1062,1295.103857
340.0,938,1297.469885
400.0,1009,1300.04197
260.0,883,1302.563123
300.0,1068,1305.376459
260.0,854,1307.750145
260.0,781,1309.726051
280.0,790,1311.739572
280.0,832,1313.845416
460.0,1194,1317.22561
240.0,773,1319.333889
280.0,905,1321.774063
460.0,1192,1325.191623
300.0,1004,1327.805087
260.0,897,1330.279444
300.0,846,1332.442098
200.0,720,1334.309548
400.0,1042,1336.953799
240.0,732,1338.854062
240.0,717,1340.693385
220.0,687,1342.439306
360.0,1068,1345.534406
320.0,925,1348.041497
320.0,989,1350.688257
180.0,724,1352.720472
320.0,922,1355.139339
340.0,984,1358.04328
320.0,923,1360.35375
280.0,865,1362.560934
400.0,1041,1365.586261
340.0,962,1368.066705
260.0,908,1370.719629
400.0,1156,1373.825371
340.0,1031,1376.567706
300.0,948,1379.052443
360.0,1084,1382.092307
460.0,1103,1384.883383
320.0,914,1387.186572
500.0,1256,1390.801106
240.0,843,1392.954496
360.0,1085,1395.681044
380.0,1085,1398.762157
220.0,746,1400.59191
280.0,975,1403.073264
300.0,978,1405.837466
360.0,1002,1408.502675
320.0,1029,1411.285303
300.0,795,1413.313147
280.0,815,1415.664288
340.0,956,1418.090011
320.0,933,1420.736102
360.0,891,1422.981908
300.0,926,1425.33714
320.0,891,1427.934989
280.0,868,1430.106621
340.0,1073,1432.999276
340.0,971,1435.541892
300.0,863,1438.094729
300.0,924,1440.409466
320.0,857,1442.537129
280.0,837,1445.032888
240.0,858,1447.362984
280.0,1115,1450.199111
280.0,835,1452.309426
300.0,891,1454.576219
300.0,860,1456.878669
260.0,759,1458.954484
260.0,826,1461.402603
280.0,890,1463.663353
240.0,787,1465.720819
440.0,1177,1468.913115
440.0,1083,1471.803556
180.0,688,1473.75141
360.0,1224,1476.849379
400.0,1177,1480.152581
320.0,1017,1482.749641
400.0,1149,1485.841755
320.0,1021,1488.532695
360.0,1076,1491.560698
340.0,966,1494.036694
300.0,860,1496.167402
460.0,1170,1499.292624
400.0,983,1501.862906
280.0,911,1504.201967
440.0,1084,1507.302398
400.0,1128,1510.487108
400.0,1131,1513.330622
240.0,826,1515.464481
420.0,1194,1518.745505
460.0,1283,1521.968219
380.0,987,1524.461523
420.0,1077,1527.211784
480.0,1166,1530.441423
300.0,887,1532.893987
220.0,729,1534.818497
480.0,1146,1537.719665
340.0,1082,1540.774713
460.0,1254,1544.223755
240.0,748,1546.127026
360.0,951,1548.872828
340.0,907,1551.14632
280.0,956,1553.900713
300.0,908,1556.207129
460.0,1264,1559.677663
440.0,1051,1562.457389
380.0,1064,1565.347328
260.0,827,1567.665541
360.0,908,1570.383314
260.0,771,1572.30798
260.0,812,1574.370379
420.0,1114,1577.529062
320.0,854,1580.024186
280.0,767,1581.988719
260.0,1027,1584.574926
300.0,969,1587.049876
380.0,977,1589.851724
380.0,989,1592.309587
360.0,1006,1595.140313
340.0,929,1597.505666
280.0,940,1600.26293
280.0,891,1602.540618
400.0,1090,1605.321514
280.0,873,1607.843922
380.0,1092,1610.694192
260.0,825,1613.054301
300.0,826,1615.091178
380.0,1084,1618.156611
320.0,1025,1620.731846
300.0,1043,1623.728987
300.0,881,1625.943313
360.0,988,1628.487509
360.0,1023,1631.554393
400.0,1125,1634.428446
360.0,1147,1637.336182
360.0,1067,1640.262823
400.0,1050,1643.034724
240.0,802,1645.091422
320.0,1060,1647.737984
280.0,858,1650.248426
460.0,1064,1652.871799
360.0,970,1655.393343
220.0,672,1657.068669
240.0,760,1659.331485
320.0,1035,1661.951166
200.0,668,1663.918013
280.0,880,1666.141726
240.0,794,1668.485109
440.0,1389,1672.00354
