#{"t_start": 1711463502.5348823, "env_id": "None"}
r,l,t
80.0,537,2.095845
160.0,763,4.168302
80.0,558,5.649831
200.0,727,7.60314
40.0,433,8.816381
80.0,488,10.133016
100.0,509,11.512124
140.0,771,13.597162
100.0,685,15.407227
60.0,591,17.009964
40.0,392,18.077699
20.0,397,19.176581
200.0,763,21.222957
0.0,376,22.244881
60.0,493,23.549232
20.0,353,24.498593
60.0,475,25.741592
60.0,398,26.82473
60.0,451,28.064879
20.0,460,29.277029
100.0,518,30.729475
20.0,456,31.940595
40.0,410,33.011235
120.0,602,34.699256
60.0,484,35.977
40.0,439,37.305486
100.0,563,38.81652
80.0,524,40.210439
100.0,496,41.609274
40.0,495,42.890605
180.0,871,45.259602
100.0,630,46.976415
100.0,494,48.28981
140.0,651,50.034051
100.0,565,51.627585
100.0,489,52.972249
60.0,475,54.27169
80.0,489,55.579545
200.0,844,57.852276
80.0,519,59.337731
200.0,716,61.286902
180.0,729,63.258286
140.0,585,64.803081
120.0,681,66.648823
240.0,728,68.614766
240.0,1038,71.557326
260.0,1017,74.374672
100.0,514,75.775529
80.0,455,77.039538
180.0,601,78.648504
100.0,534,80.087313
140.0,547,81.544397
100.0,609,83.278096
160.0,695,85.122838
280.0,1134,88.179406
60.0,392,89.28175
220.0,767,91.319987
300.0,1085,94.30162
320.0,1119,97.358985
80.0,614,98.995564
120.0,660,100.77752
80.0,773,102.849438
180.0,772,104.938689
160.0,518,106.398596
80.0,482,107.687056
280.0,1109,110.695436
200.0,712,112.59382
180.0,980,115.193815
120.0,632,116.928856
180.0,574,118.47633
80.0,415,119.57963
120.0,576,121.124376
100.0,744,123.111997
140.0,700,124.995907
200.0,689,126.859536
80.0,679,128.691779
360.0,1291,132.173003
180.0,713,134.076442
380.0,967,136.695081
100.0,714,138.675061
160.0,682,140.496247
140.0,637,142.191853
120.0,597,143.837694
160.0,653,145.638126
120.0,514,147.05066
40.0,378,148.122764
200.0,946,150.681523
100.0,631,152.340879
140.0,869,154.680487
100.0,635,156.378149
140.0,532,157.821759
120.0,556,159.301699
200.0,812,161.487251
40.0,423,162.603156
160.0,805,164.774144
60.0,425,165.89431
140.0,761,167.948774
160.0,586,169.485991
240.0,992,172.219382
80.0,657,174.015969
100.0,471,175.25945
140.0,684,177.082395
120.0,615,178.784788
240.0,845,181.033514
320.0,940,183.618845
340.0,1185,186.778656
300.0,1044,189.613929
80.0,453,190.832697
180.0,817,193.048347
120.0,526,194.531665
100.0,732,196.470505
160.0,568,198.074122
160.0,616,199.784975
100.0,465,201.075523
120.0,563,202.6668
340.0,1254,206.094477
140.0,855,208.458752
140.0,515,209.824959
100.0,717,211.740987
100.0,615,213.409693
260.0,940,215.913505
160.0,660,217.750256
320.0,1159,220.858233
100.0,597,222.440006
80.0,460,223.705254
220.0,732,225.713283
80.0,485,227.097036
240.0,856,229.583464
160.0,761,231.608436
