#{"t_start": 1711294625.507393, "env_id": "None"}
r,l,t
100.0,702,2.634867
40.0,451,3.844655
60.0,394,4.903852
40.0,371,5.92586
0.0,397,6.990161
120.0,477,8.270533
200.0,911,11.141059
20.0,499,12.580699
20.0,415,14.008777
80.0,524,15.66488
20.0,392,17.076903
40.0,437,18.315757
40.0,379,19.47507
40.0,540,21.081066
40.0,406,22.31519
20.0,382,23.441758
240.0,785,25.584318
220.0,779,27.844654
60.0,467,29.559253
40.0,444,30.89408
60.0,470,32.257037
140.0,679,34.336498
20.0,366,35.338896
140.0,742,37.466
40.0,423,38.689004
100.0,571,40.461916
100.0,473,41.859007
20.0,408,42.983548
0.0,364,43.973711
80.0,555,45.556137
120.0,462,47.040463
20.0,355,48.036666
180.0,777,50.450434
40.0,475,51.776793
100.0,554,53.510976
40.0,473,54.92315
0.0,352,55.960192
140.0,716,58.027096
40.0,396,59.144274
60.0,412,60.421754
120.0,625,62.263456
180.0,649,64.234217
80.0,514,65.770923
60.0,436,66.94505
40.0,410,68.093019
120.0,651,69.895471
60.0,427,71.070605
40.0,429,72.265917
100.0,542,73.743788
140.0,677,75.954865
120.0,737,77.96806
0.0,416,79.092807
100.0,547,80.622627
100.0,477,82.213713
20.0,370,83.29182
100.0,547,84.829474
80.0,423,86.232653
0.0,385,87.281068
60.0,452,88.579948
120.0,593,90.21176
160.0,628,91.984187
200.0,824,94.377792
220.0,899,96.999446
60.0,459,98.220124
120.0,556,99.75633
100.0,574,101.332578
80.0,617,103.011649
60.0,466,104.289227
60.0,444,105.480428
20.0,374,106.522074
300.0,1154,109.925274
40.0,383,111.007961
180.0,793,113.244923
20.0,355,114.224462
120.0,713,116.426734
100.0,532,117.84218
40.0,392,118.890855
60.0,414,120.039045
140.0,613,121.758906
40.0,427,122.907146
40.0,418,124.048733
200.0,835,126.565485
40.0,371,127.76061
140.0,666,129.685591
160.0,709,132.763287
100.0,453,134.241309
180.0,780,136.631961
100.0,532,138.218
20.0,402,139.328911
140.0,633,141.318045
0.0,358,142.388085
40.0,418,143.689047
60.0,489,145.041727
120.0,644,146.78077
100.0,532,148.179757
120.0,599,149.763178
200.0,759,151.945144
20.0,442,153.418581
80.0,485,154.700574
80.0,491,155.993404
160.0,719,158.095166
180.0,895,160.456187
200.0,731,162.411257
120.0,606,164.05544
140.0,710,165.977443
140.0,544,167.422875
80.0,567,169.010483
140.0,584,170.533543
80.0,616,172.204011
240.0,1019,175.005109
220.0,843,177.319048
180.0,760,180.129762
120.0,611,182.346702
120.0,566,184.112352
80.0,456,186.096066
180.0,689,188.730921
160.0,565,190.563079
120.0,686,192.596709
320.0,1180,195.854944
60.0,463,197.134767
160.0,626,199.068123
160.0,797,201.737168
180.0,744,204.369631
20.0,370,205.595365
120.0,461,206.970864
180.0,689,209.241185
80.0,476,210.809012
140.0,536,212.376023
160.0,570,214.328357
0.0,360,215.340802
180.0,714,217.44553
220.0,949,220.026048
140.0,628,221.795735
160.0,742,223.986766
120.0,643,225.877581
160.0,761,228.142953
180.0,985,231.251997
100.0,545,232.774874
240.0,946,235.308207
160.0,714,237.641773
160.0,684,239.520902
140.0,570,241.441084
60.0,510,242.958878
120.0,564,244.696044
120.0,650,246.667099
200.0,629,248.568011
120.0,549,250.43932
140.0,658,252.839664
140.0,729,255.207275
100.0,608,257.154541
120.0,515,258.712134
220.0,776,261.229674
180.0,749,263.504611
100.0,527,264.972173
160.0,723,267.553684
