#{"t_start": 1711818954.082277, "env_id": "ALE/Seaquest-v5"}
r,l,t
40.0,338,4.162482
60.0,458,5.914479
40.0,428,6.416629
40.0,523,7.181326
20.0,369,7.634168
40.0,414,8.123665
180.0,626,8.862292
0.0,344,9.209913
200.0,636,10.01365
20.0,359,10.383713
80.0,433,10.89718
60.0,461,11.421081
40.0,385,11.839731
80.0,435,12.344045
40.0,333,12.726437
20.0,322,13.063073
40.0,376,13.517296
0.0,391,13.942724
100.0,556,14.591134
80.0,497,15.191575
40.0,393,15.655046
100.0,501,16.40031
60.0,413,17.074895
120.0,488,17.974901
220.0,1074,19.275496
280.0,897,20.359756
100.0,436,20.871193
40.0,439,21.359927
100.0,632,22.142459
100.0,540,22.718151
180.0,579,23.442107
60.0,473,23.948796
240.0,1107,25.274118
320.0,1088,26.579581
80.0,481,27.13017
220.0,921,28.383898
200.0,718,29.654406
140.0,670,30.571609
320.0,1196,32.023943
180.0,693,32.824698
200.0,786,33.741672
160.0,609,34.483189
100.0,594,35.183372
280.0,933,36.289531
80.0,455,36.81699
200.0,721,37.659078
180.0,826,38.679406
140.0,650,39.439094
80.0,412,39.939732
140.0,604,40.943006
140.0,524,41.888439
40.0,400,42.436358
140.0,511,43.046691
180.0,635,43.782314
160.0,678,44.559563
60.0,631,45.334559
160.0,567,46.001173
100.0,720,46.836218
60.0,417,47.326382
160.0,798,48.246943
180.0,589,49.067034
240.0,927,50.325694
180.0,711,51.146641
260.0,886,52.258249
180.0,611,53.359032
180.0,712,54.518099
120.0,596,55.223077
300.0,1137,56.552067
160.0,633,57.282948
140.0,582,57.966558
180.0,697,58.781682
300.0,1085,60.083766
260.0,967,61.25299
180.0,641,61.983699
220.0,897,63.082253
180.0,746,63.957008
180.0,740,65.263849
260.0,1145,67.058985
380.0,1313,68.634213
240.0,843,69.691549
160.0,562,70.339901
200.0,771,71.228861
380.0,1212,72.670821
340.0,1177,74.108736
400.0,1325,75.703383
220.0,959,77.072499
200.0,740,78.399589
220.0,874,79.472584
200.0,784,80.410892
260.0,1032,81.657407
280.0,1050,82.928933
440.0,1334,84.55678
260.0,1008,85.730361
280.0,1066,87.017451
160.0,713,87.887473
480.0,1521,90.404714
280.0,1002,91.615303
260.0,1125,92.960843
320.0,1306,94.546618
420.0,1400,96.241916
480.0,1484,98.031673
280.0,987,99.204838
240.0,816,100.199945
260.0,1020,101.834721
260.0,1159,103.552423
300.0,871,104.543705
200.0,772,105.430426
260.0,929,106.546812
